,HomeTeam,AwayTeam,BbAvH,BbAvD,BbAvA,FTR,AwayTeamGoals,HomeTeamConceded,AwayTeamConceded,HomeTeamGoals,Weekday
0,Arsenal,Aston Villa,1.4,4.68,7.87,A,1.24,1.23,1.54,1.55,5.0
1,Liverpool,Stoke,1.38,4.54,8.88,H,1.24,1.23,1.54,1.55,5.0
2,Norwich,Everton,3.12,3.27,2.31,D,1.24,1.23,1.54,1.55,5.0
3,Sunderland,Fulham,2.22,3.3,3.29,A,1.24,1.23,1.54,1.55,5.0
4,Swansea,Man United,3.84,3.4,1.99,A,1.24,1.23,1.54,1.55,5.0
5,West Brom,Southampton,2.31,3.33,3.07,A,1.24,1.23,1.54,1.55,5.0
6,West Ham,Cardiff,1.94,3.47,3.94,H,1.24,1.23,1.54,1.55,5.0
7,Chelsea,Hull,1.19,6.68,15.53,H,1.24,1.23,1.54,1.55,6.0
8,Crystal Palace,Tottenham,4.66,3.61,1.77,A,1.24,1.23,1.54,1.55,6.0
9,Man City,Newcastle,1.3,5.27,10.35,H,1.24,1.23,1.54,1.55,0.0
10,Chelsea,Aston Villa,1.29,5.42,10.17,H,3.0,0.0,1.0,2.0,2.0
11,Aston Villa,Liverpool,3.93,3.55,1.91,A,1.24,1.23,1.54,1.55,5.0
12,Everton,West Brom,1.55,3.94,6.27,D,1.24,1.23,1.54,1.55,5.0
13,Fulham,Arsenal,3.51,3.38,2.1,A,1.24,1.23,1.54,1.55,5.0
14,Hull,Norwich,2.39,3.25,3.01,H,1.24,1.23,1.54,1.55,5.0
15,Newcastle,West Ham,2.22,3.29,3.29,D,1.24,1.23,1.54,1.55,5.0
16,Southampton,Sunderland,1.69,3.66,5.16,D,1.24,1.23,1.54,1.55,5.0
17,Stoke,Crystal Palace,1.83,3.42,4.54,H,1.24,1.23,1.54,1.55,5.0
18,Cardiff,Man City,7.32,4.39,1.44,H,1.24,1.23,1.54,1.55,6.0
19,Tottenham,Swansea,1.6,3.78,5.95,H,1.24,1.23,1.54,1.55,6.0
20,Man United,Chelsea,2.38,3.33,2.94,D,1.24,1.23,1.54,1.55,0.0
21,Cardiff,Everton,3.13,3.31,2.29,D,2.0,2.0,2.0,3.0,5.0
22,Crystal Palace,Sunderland,2.49,3.22,2.89,H,1.0,1.0,1.0,0.0,5.0
23,Man City,Hull,1.16,7.53,15.78,H,0.0,0.0,2.0,4.0,5.0
24,Newcastle,Fulham,2.11,3.36,3.49,H,1.0,0.0,0.0,0.0,5.0
25,Norwich,Southampton,2.84,3.27,2.5,H,1.0,2.0,0.0,2.0,5.0
26,West Ham,Stoke,1.98,3.37,3.92,A,0.0,0.0,1.0,2.0,5.0
27,Arsenal,Tottenham,2.08,3.46,3.47,H,1.0,3.0,0.0,1.0,2.0
28,Liverpool,Man United,2.52,3.28,2.81,H,4.0,0.0,1.0,1.0,2.0
29,West Brom,Swansea,2.55,3.34,2.73,A,0.0,1.0,1.0,0.0,2.0
30,Aston Villa,Newcastle,2.11,3.33,3.54,A,0.0,1.0,4.0,0.0,5.0
31,Everton,Chelsea,3.22,3.28,2.27,H,0.0,0.0,0.0,0.0,5.0
32,Fulham,West Brom,2.11,3.33,3.53,D,0.0,3.0,0.0,1.0,5.0
33,Hull,Cardiff,2.38,3.19,3.1,D,0.0,0.0,2.0,1.0,5.0
34,Man United,Crystal Palace,1.21,6.61,13.66,H,1.0,0.0,2.0,0.0,5.0
35,Stoke,Man City,5.69,3.73,1.63,D,2.0,1.0,3.0,2.0,5.0
36,Sunderland,Arsenal,5.43,3.69,1.66,A,3.0,1.0,1.0,0.0,5.0
37,Tottenham,Norwich,1.44,4.33,7.63,H,0.0,0.0,1.0,1.0,5.0
38,Southampton,West Ham,1.82,3.5,4.55,D,0.0,1.0,0.0,1.0,6.0
39,Swansea,Liverpool,3.37,3.34,2.17,D,1.0,4.0,0.0,1.0,0.0
40,Chelsea,Fulham,1.29,5.41,10.74,H,0.5,0.5,0.5,2.0,5.0
41,Liverpool,Southampton,1.58,3.82,6.18,A,0.5,0.0,0.5,1.0,5.0
42,Newcastle,Hull,1.8,3.47,4.72,A,0.0,0.0,2.0,0.5,5.0
43,Norwich,Aston Villa,2.37,3.3,3.01,A,2.0,1.0,1.5,1.5,5.0
44,West Brom,Sunderland,2.03,3.33,3.75,H,1.0,1.5,2.0,0.0,5.0
45,West Ham,Everton,3.12,3.25,2.33,A,1.0,0.5,1.0,1.0,5.0
46,Arsenal,Stoke,1.35,4.88,9.25,H,0.5,1.5,0.5,1.0,6.0
47,Cardiff,Tottenham,4.32,3.43,1.88,A,0.5,1.0,0.5,1.5,6.0
48,Crystal Palace,Swansea,3.2,3.27,2.25,A,1.0,1.0,0.5,1.5,6.0
49,Man City,Man United,2.16,3.32,3.42,H,2.0,0.0,1.0,3.0,6.0
50,Aston Villa,Man City,6.6,3.97,1.53,H,1.0,1.5,1.5,0.5,5.0
51,Fulham,Cardiff,2.07,3.32,3.66,A,0.5,2.0,1.5,1.0,5.0
52,Hull,West Ham,2.34,3.2,3.16,H,0.0,0.5,0.0,1.0,5.0
53,Man United,West Brom,1.29,5.44,10.38,A,0.5,0.0,0.5,1.0,5.0
54,Southampton,Crystal Palace,1.45,4.21,7.7,H,0.5,0.5,2.0,0.5,5.0
55,Swansea,Arsenal,3.11,3.32,2.31,A,3.0,3.0,1.0,1.5,5.0
56,Tottenham,Chelsea,2.61,3.19,2.77,D,0.0,0.0,0.5,1.5,5.0
57,Stoke,Norwich,1.96,3.32,4.09,A,0.0,0.5,1.5,1.0,6.0
58,Sunderland,Liverpool,5.3,3.71,1.67,A,1.5,2.0,1.0,0.5,6.0
59,Everton,Newcastle,1.61,3.76,5.74,H,1.0,0.0,2.5,0.5,0.0
60,Cardiff,Newcastle,2.36,3.29,3.05,A,1.33,1.0,2.67,1.0,4.0
61,Fulham,Stoke,2.36,3.2,3.12,H,0.67,2.0,1.33,1.0,4.0
62,Hull,Aston Villa,2.36,3.26,3.07,D,1.67,0.33,1.0,1.0,4.0
63,Liverpool,Crystal Palace,1.21,6.48,14.01,H,0.33,0.33,2.0,0.67,4.0
64,Man City,Everton,1.64,3.88,5.29,H,1.67,0.33,1.33,3.33,4.0
65,Sunderland,Man United,5.58,3.8,1.63,A,1.67,2.33,2.0,0.67,4.0
66,Norwich,Chelsea,6.02,3.9,1.58,A,0.33,1.0,0.67,1.0,0.0
67,Southampton,Swansea,2.04,3.36,3.72,H,1.33,0.33,0.33,1.0,0.0
68,Tottenham,West Ham,1.42,4.43,7.96,A,0.0,0.33,0.33,1.33,0.0
69,West Brom,Arsenal,4.54,3.73,1.76,D,2.67,1.0,1.0,1.0,0.0
70,Arsenal,Norwich,1.29,5.39,10.72,H,0.33,1.33,1.0,1.67,5.0
71,Chelsea,Cardiff,1.24,6.03,12.82,H,1.0,0.33,1.33,2.0,5.0
72,Everton,Hull,1.44,4.2,8.07,H,1.0,0.67,2.0,1.33,5.0
73,Man United,Southampton,1.55,4.02,6.2,D,0.67,0.67,0.33,1.0,5.0
74,Newcastle,Liverpool,4.31,3.65,1.82,D,2.0,1.0,1.0,1.0,5.0
75,Stoke,West Brom,2.26,3.21,3.31,D,1.0,0.67,0.67,0.67,5.0
76,Swansea,Sunderland,1.57,3.89,6.19,H,0.67,2.67,2.33,1.33,5.0
77,West Ham,Man City,5.32,3.65,1.68,A,1.33,1.33,2.0,1.33,5.0
78,Aston Villa,Tottenham,3.86,3.4,1.98,A,0.67,1.67,0.33,1.33,6.0
79,Crystal Palace,Fulham,2.65,3.21,2.69,A,0.33,1.33,1.0,1.0,0.0
80,Aston Villa,Everton,3.3,3.3,2.22,A,1.5,1.75,1.75,1.0,5.0
81,Crystal Palace,Arsenal,8.85,4.82,1.36,A,2.25,2.0,1.0,1.0,5.0
82,Liverpool,West Brom,1.41,4.66,7.61,H,0.75,0.5,0.5,1.25,5.0
83,Man United,Stoke,1.32,5.02,9.83,H,0.5,0.75,1.25,1.0,5.0
84,Norwich,Cardiff,2.16,3.28,3.45,D,1.0,1.5,2.0,1.0,5.0
85,Southampton,Fulham,1.59,3.78,6.12,H,1.25,0.25,1.0,1.25,5.0
86,Chelsea,Man City,2.36,3.31,3.03,H,1.75,0.5,1.75,2.5,6.0
87,Sunderland,Newcastle,2.78,3.27,2.56,H,1.5,2.25,2.25,0.75,6.0
88,Swansea,West Ham,1.71,3.65,4.98,D,0.75,2.0,0.25,2.0,6.0
89,Tottenham,Hull,1.41,4.37,8.03,H,1.0,1.0,2.0,1.0,6.0
90,Arsenal,Liverpool,2.26,3.35,3.18,H,2.0,1.25,1.25,2.25,0.0
91,Fulham,Man United,6.03,3.91,1.58,A,1.75,1.5,1.75,1.0,0.0
92,Hull,Sunderland,2.12,3.28,3.58,H,0.5,0.25,2.75,0.75,0.0
93,Man City,Norwich,1.19,6.83,14.48,H,0.5,0.5,1.75,3.25,0.0
94,Newcastle,Chelsea,5.62,3.89,1.61,H,1.0,1.25,0.75,1.25,0.0
95,Stoke,Southampton,3.11,3.17,2.36,D,0.75,0.5,0.5,0.5,0.0
96,West Brom,Crystal Palace,1.54,4.02,6.32,H,0.5,1.0,2.25,1.0,0.0
97,West Ham,Aston Villa,2.16,3.29,3.38,D,1.25,1.75,0.75,1.25,0.0
98,Cardiff,Swansea,3.24,3.29,2.25,H,1.0,1.25,0.75,1.0,0.0
99,Everton,Tottenham,2.44,3.27,2.92,D,1.0,0.75,0.25,1.5,0.0
100,Aston Villa,Cardiff,1.98,3.33,3.96,H,0.8,1.8,1.6,0.8,2.0
101,Chelsea,West Brom,1.29,5.4,10.49,D,0.8,0.6,1.2,2.4,2.0
102,Crystal Palace,Everton,5.97,3.82,1.59,D,1.6,2.0,1.4,0.8,2.0
103,Liverpool,Fulham,1.24,5.93,12.64,H,1.0,0.6,1.2,1.8,2.0
104,Norwich,West Ham,2.51,3.22,2.87,H,0.6,1.2,0.2,0.8,2.0
105,Southampton,Hull,1.56,3.73,6.8,H,0.8,0.2,1.8,1.4,2.0
106,Man United,Arsenal,2.26,3.35,3.16,H,2.2,1.0,0.8,1.4,4.0
107,Sunderland,Man City,8.0,4.7,1.39,H,1.6,2.0,1.8,1.0,4.0
108,Swansea,Stoke,1.94,3.31,4.15,D,0.8,1.6,1.6,1.6,4.0
109,Tottenham,Newcastle,1.53,4.02,6.49,A,1.4,0.8,2.2,1.0,4.0
110,Arsenal,Southampton,1.6,3.88,5.82,H,0.8,1.0,0.6,2.2,5.0
111,Everton,Liverpool,2.85,3.27,2.5,D,1.6,0.6,1.4,1.2,5.0
112,Fulham,Swansea,3.2,3.25,2.3,A,0.8,1.8,0.8,1.0,5.0
113,Hull,Crystal Palace,1.83,3.39,4.64,A,0.4,0.2,2.2,0.8,5.0
114,Newcastle,Norwich,1.77,3.63,4.6,H,0.4,1.0,2.8,1.4,5.0
115,Stoke,Sunderland,2.08,3.21,3.79,H,0.4,0.6,2.4,0.6,5.0
116,West Ham,Chelsea,5.79,3.86,1.6,A,0.8,1.4,1.0,1.0,5.0
117,Cardiff,Man United,5.54,3.8,1.63,D,2.0,1.0,1.6,1.0,6.0
118,Man City,Tottenham,1.67,3.72,5.36,H,0.8,0.4,0.2,4.0,6.0
119,West Brom,Aston Villa,2.08,3.31,3.62,D,1.0,0.8,0.6,1.2,0.0
120,Aston Villa,Sunderland,1.97,3.35,3.99,D,0.2,1.6,2.6,1.2,5.0
121,Cardiff,Arsenal,5.67,3.92,1.6,A,1.6,1.0,0.8,0.8,5.0
122,Everton,Stoke,1.59,3.82,5.99,H,1.4,1.2,2.0,1.8,5.0
123,Newcastle,West Brom,2.02,3.39,3.72,H,1.2,1.2,1.6,1.8,5.0
124,Norwich,Crystal Palace,1.93,3.36,4.18,H,0.4,1.0,1.8,1.0,5.0
125,West Ham,Fulham,1.88,3.43,4.28,H,0.8,2.0,2.0,0.6,5.0
126,Chelsea,Southampton,1.54,4.05,6.27,H,0.6,1.0,1.0,2.4,5.0
127,Hull,Liverpool,6.06,3.79,1.59,H,2.0,0.4,2.0,0.6,5.0
128,Man City,Swansea,1.28,5.46,10.88,H,1.2,0.4,0.8,4.4,5.0
129,Tottenham,Man United,2.7,3.28,2.62,D,1.6,1.0,1.8,0.8,5.0
130,Crystal Palace,West Ham,3.07,3.25,2.39,H,0.8,1.8,0.8,0.8,1.0
131,Arsenal,Hull,1.2,6.62,14.26,H,1.0,0.4,2.2,2.4,4.0
132,Fulham,Tottenham,5.53,3.73,1.65,A,0.6,1.6,1.4,1.0,4.0
133,Liverpool,Norwich,1.26,5.81,11.08,H,0.6,0.6,3.0,2.4,4.0
134,Man United,Everton,1.71,3.71,4.98,A,1.2,1.0,1.0,1.6,4.0
135,Southampton,Aston Villa,1.67,3.72,5.35,A,0.8,0.2,0.8,2.0,4.0
136,Stoke,Cardiff,2.06,3.31,3.75,D,0.8,0.4,1.6,0.6,4.0
137,Sunderland,Chelsea,6.24,4.1,1.53,A,1.4,1.8,1.0,1.2,4.0
138,Swansea,Newcastle,2.13,3.41,3.42,H,1.6,1.4,1.4,2.0,4.0
139,West Brom,Man City,5.61,3.9,1.61,A,1.2,1.0,1.4,1.6,4.0
140,Crystal Palace,Cardiff,2.69,3.15,2.72,H,0.6,1.6,1.4,0.4,4.0
141,Liverpool,West Ham,1.29,5.58,10.36,H,0.8,0.8,1.0,3.2,4.0
142,Man United,Newcastle,1.51,4.16,6.38,A,1.2,1.2,1.8,1.2,4.0
143,Southampton,Man City,4.92,3.65,1.73,D,1.8,0.8,1.8,2.4,4.0
144,Stoke,Chelsea,6.12,3.81,1.59,H,2.2,0.4,1.4,0.6,4.0
145,Sunderland,Tottenham,4.24,3.43,1.89,A,1.0,2.0,1.4,1.6,4.0
146,West Brom,Norwich,1.79,3.53,4.72,A,0.8,1.2,3.6,2.0,4.0
147,Arsenal,Everton,1.69,3.7,5.18,D,1.4,0.4,1.0,2.6,0.0
148,Fulham,Aston Villa,2.66,3.25,2.69,H,1.2,1.8,0.8,1.0,0.0
149,Swansea,Hull,1.74,3.53,5.07,D,1.0,1.0,2.2,2.2,3.0
150,Cardiff,West Brom,2.55,3.26,2.81,H,1.2,1.6,1.8,0.8,5.0
151,Chelsea,Crystal Palace,1.18,6.87,16.07,H,0.4,1.0,1.6,2.6,5.0
152,Everton,Fulham,1.37,4.68,8.99,H,0.8,1.2,2.4,2.4,5.0
153,Hull,Stoke,2.27,3.15,3.37,D,1.2,0.4,2.8,1.0,5.0
154,Man City,Arsenal,1.79,3.65,4.49,H,1.6,0.4,0.6,4.6,5.0
155,Newcastle,Southampton,2.36,3.3,3.05,D,0.8,1.4,1.4,2.0,5.0
156,West Ham,Sunderland,1.97,3.37,4.0,D,0.0,1.8,2.0,1.2,5.0
157,Aston Villa,Man United,5.01,3.6,1.73,A,2.0,1.2,2.0,1.0,6.0
158,Norwich,Swansea,2.76,3.26,2.6,D,0.8,1.0,1.4,1.0,6.0
159,Tottenham,Liverpool,2.45,3.33,2.88,A,1.8,1.4,2.2,0.8,6.0
160,Crystal Palace,Newcastle,3.13,3.26,2.34,A,1.0,1.2,1.2,0.8,5.0
161,Fulham,Man City,8.44,4.97,1.36,A,1.6,1.4,1.4,1.2,5.0
162,Liverpool,Cardiff,1.2,6.83,14.55,H,0.2,0.8,1.6,4.0,5.0
163,Man United,West Ham,1.36,4.84,8.91,H,1.0,1.0,1.6,1.0,5.0
164,Stoke,Aston Villa,2.24,3.21,3.38,H,1.0,0.6,1.2,1.2,5.0
165,Sunderland,Norwich,2.04,3.33,3.77,D,1.0,1.8,3.6,1.6,5.0
166,West Brom,Hull,1.9,3.35,4.33,D,0.6,1.6,2.0,1.4,5.0
167,Southampton,Tottenham,2.51,3.23,2.89,A,1.2,1.0,1.6,2.2,6.0
168,Swansea,Everton,2.97,3.3,2.41,A,1.0,0.8,0.8,2.2,6.0
169,Arsenal,Chelsea,2.33,3.31,3.12,D,2.4,0.4,1.8,2.2,0.0
170,Aston Villa,Crystal Palace,1.89,3.37,4.4,A,0.6,1.4,1.6,0.4,3.0
171,Cardiff,Southampton,3.19,3.28,2.3,A,0.8,1.4,1.6,1.0,3.0
172,Chelsea,Swansea,1.33,5.04,9.53,H,0.6,1.2,1.6,2.6,3.0
173,Everton,Sunderland,1.36,4.79,8.99,A,0.0,1.0,1.4,2.6,3.0
174,Hull,Man United,6.31,3.9,1.56,A,2.4,0.4,1.2,0.8,3.0
175,Man City,Liverpool,1.75,3.82,4.52,H,2.2,0.8,2.0,5.0,3.0
176,Newcastle,Stoke,1.75,3.56,4.98,H,1.0,1.0,2.2,1.8,3.0
177,Norwich,Fulham,2.04,3.37,3.71,A,1.0,1.0,2.8,1.2,3.0
178,Tottenham,West Brom,1.52,4.14,6.43,D,0.8,2.2,1.8,0.6,3.0
179,West Ham,Arsenal,5.79,3.88,1.6,A,1.8,1.2,1.6,0.8,3.0
180,Aston Villa,Swansea,2.8,3.22,2.58,D,0.6,1.2,1.4,0.4,5.0
181,Cardiff,Sunderland,2.27,3.25,3.24,D,0.2,1.6,0.6,0.8,5.0
182,Hull,Fulham,2.04,3.32,3.8,H,0.6,1.0,2.8,1.2,5.0
183,Man City,Crystal Palace,1.12,9.05,21.18,H,0.6,0.8,1.0,4.8,5.0
184,Norwich,Man United,6.12,3.97,1.57,A,2.6,0.8,1.4,1.2,5.0
185,West Ham,West Brom,2.35,3.27,3.09,D,1.0,1.2,2.0,0.8,5.0
186,Chelsea,Liverpool,2.14,3.39,3.41,H,2.0,1.0,2.0,2.0,6.0
187,Everton,Southampton,1.81,3.56,4.48,H,1.2,1.0,1.4,2.2,6.0
188,Newcastle,Arsenal,3.89,3.48,1.96,A,2.2,0.8,1.6,2.4,6.0
189,Tottenham,Stoke,1.46,4.16,7.54,H,1.2,1.8,3.0,0.8,6.0
190,Arsenal,Cardiff,1.26,5.88,11.7,H,0.2,0.2,1.4,1.4,2.0
191,Crystal Palace,Norwich,2.35,3.21,3.16,D,0.8,1.0,2.8,0.6,2.0
192,Fulham,West Ham,2.39,3.32,3.0,H,0.6,2.2,2.2,1.4,2.0
193,Liverpool,Hull,1.28,5.74,10.49,H,0.6,0.8,1.8,4.0,2.0
194,Man United,Tottenham,1.78,3.65,4.62,A,1.4,1.0,2.0,1.4,2.0
195,Southampton,Chelsea,3.8,3.39,2.02,A,1.8,1.6,1.6,2.2,2.0
196,Stoke,Everton,3.82,3.31,2.04,D,1.2,0.8,0.4,1.6,2.0
197,Sunderland,Aston Villa,2.12,3.32,3.57,A,1.2,1.4,1.6,1.4,2.0
198,Swansea,Man City,5.36,4.0,1.62,A,1.8,1.2,1.6,1.6,2.0
199,West Brom,Newcastle,2.48,3.32,2.86,H,1.2,1.6,1.0,1.4,2.0
200,Cardiff,West Ham,1.96,3.44,3.92,A,0.8,2.0,2.6,1.0,5.0
201,Everton,Norwich,1.38,4.6,8.95,H,1.0,1.2,1.6,2.6,5.0
202,Fulham,Sunderland,2.16,3.3,3.49,A,0.6,1.8,0.8,1.6,5.0
203,Hull,Chelsea,6.15,3.79,1.6,A,2.4,1.0,1.2,2.2,5.0
204,Man United,Swansea,1.54,4.02,6.49,H,0.8,1.0,1.4,1.0,5.0
205,Southampton,West Brom,1.81,3.58,4.51,H,1.4,2.2,1.8,1.8,5.0
206,Tottenham,Crystal Palace,1.37,4.72,9.13,H,0.6,1.8,0.8,1.2,5.0
207,Newcastle,Man City,5.18,3.83,1.67,A,2.2,1.0,1.6,2.0,0.0
208,Stoke,Liverpool,5.66,3.83,1.63,A,2.2,0.8,2.0,1.6,0.0
209,Aston Villa,Arsenal,5.96,3.92,1.58,A,2.0,1.0,1.6,0.6,0.0
210,Arsenal,Fulham,1.22,6.45,13.12,H,0.6,0.2,3.6,1.4,5.0
211,Crystal Palace,Stoke,2.26,3.2,3.36,H,0.8,0.8,3.0,0.8,5.0
212,Liverpool,Aston Villa,1.21,6.76,13.01,D,1.4,0.6,1.6,3.6,5.0
213,Man City,Cardiff,1.12,9.0,19.89,H,0.2,0.8,1.8,3.6,5.0
214,Norwich,Hull,2.36,3.2,3.15,H,0.6,1.0,2.0,1.2,5.0
215,Sunderland,Southampton,3.01,3.25,2.42,D,1.2,1.4,1.6,1.0,5.0
216,West Ham,Newcastle,2.94,3.3,2.44,A,1.0,1.8,0.8,1.4,5.0
217,Chelsea,Man United,1.74,3.63,4.92,H,2.2,1.0,1.2,2.0,6.0
218,Swansea,Tottenham,3.06,3.32,2.35,A,1.8,1.8,2.2,2.0,6.0
219,West Brom,Everton,3.24,3.34,2.23,D,1.0,1.6,0.6,1.2,0.0
220,Crystal Palace,Hull,2.47,3.1,3.1,H,0.4,0.8,1.4,1.0,1.0
221,Liverpool,Everton,1.81,3.7,4.45,H,1.2,1.0,0.8,3.2,1.0
222,Man United,Cardiff,1.24,6.06,13.39,H,0.6,1.0,2.2,1.2,1.0
223,Norwich,Newcastle,2.63,3.27,2.77,D,1.4,0.8,1.0,0.8,1.0
224,Southampton,Arsenal,4.16,3.47,1.92,D,2.4,2.0,1.6,1.2,1.0
225,Swansea,Fulham,1.73,3.63,5.09,H,0.6,1.8,3.2,1.6,1.0
226,Aston Villa,West Brom,2.53,3.27,2.84,H,1.0,1.4,1.6,0.4,2.0
227,Chelsea,West Ham,1.19,6.91,15.47,D,1.0,0.8,2.0,2.2,2.0
228,Sunderland,Stoke,2.1,3.29,3.66,H,0.2,1.8,2.6,1.2,2.0
229,Tottenham,Man City,3.65,3.55,2.01,A,2.6,1.6,1.4,1.6,2.0
230,Cardiff,Norwich,2.24,3.31,3.29,H,0.8,2.0,1.6,0.6,3.0
231,Everton,Aston Villa,1.48,4.2,7.06,H,1.4,0.6,1.6,2.4,3.0
232,Fulham,Southampton,3.35,3.35,2.18,A,1.6,2.2,1.6,1.6,3.0
233,Hull,Tottenham,3.8,3.35,2.03,D,2.4,1.2,1.2,2.2,3.0
234,Newcastle,Sunderland,1.91,3.42,4.19,A,1.4,1.2,0.6,1.6,3.0
235,Stoke,Man United,6.49,3.86,1.56,H,2.0,1.8,1.4,1.8,3.0
236,West Ham,Swansea,2.86,3.28,2.51,H,0.4,1.8,1.6,1.6,3.0
237,Arsenal,Crystal Palace,1.21,6.22,13.93,H,0.4,0.2,1.2,1.4,6.0
238,West Brom,Liverpool,5.49,3.9,1.63,D,2.6,1.4,2.0,1.0,6.0
239,Man City,Chelsea,1.84,3.52,4.38,A,2.2,1.2,1.2,3.2,6.0
240,Aston Villa,West Ham,2.08,3.34,3.64,A,1.0,2.0,1.8,1.2,5.0
241,Chelsea,Newcastle,1.24,5.94,13.55,H,1.4,0.6,0.4,1.6,5.0
242,Crystal Palace,West Brom,2.54,3.16,2.9,H,1.4,0.8,2.0,1.0,5.0
243,Liverpool,Arsenal,2.15,3.46,3.35,H,2.2,0.8,2.0,3.0,5.0
244,Norwich,Man City,8.85,5.16,1.34,D,3.0,0.8,1.2,0.6,5.0
245,Southampton,Stoke,1.52,3.96,6.98,D,0.2,1.8,2.0,1.2,5.0
246,Sunderland,Hull,2.1,3.26,3.71,A,0.4,1.0,1.2,0.8,5.0
247,Swansea,Cardiff,1.84,3.48,4.52,H,0.6,1.8,2.6,1.4,5.0
248,Man United,Fulham,1.19,6.72,15.73,D,0.6,0.8,3.0,1.6,1.0
249,Tottenham,Everton,2.11,3.36,3.54,H,1.0,2.2,1.6,1.4,1.0
250,Cardiff,Aston Villa,2.46,3.29,2.95,D,1.0,1.6,1.6,1.0,6.0
251,Hull,Southampton,2.91,3.19,2.55,A,2.0,1.2,1.0,1.8,6.0
252,West Brom,Chelsea,7.17,4.21,1.49,D,1.6,1.0,0.6,0.8,6.0
253,West Ham,Norwich,2.01,3.39,3.86,H,0.8,1.8,1.0,1.4,6.0
254,Arsenal,Man United,2.11,3.37,3.54,D,1.8,0.2,1.4,1.4,1.0
255,Fulham,Liverpool,7.5,4.75,1.41,A,2.6,2.4,1.6,1.4,1.0
256,Newcastle,Tottenham,3.11,3.36,2.3,A,2.2,1.6,1.2,1.2,1.0
257,Stoke,Swansea,2.61,3.18,2.81,D,0.4,2.0,1.4,2.2,1.0
258,Arsenal,Sunderland,1.31,5.15,10.42,H,2.0,0.0,0.6,1.2,5.0
259,Cardiff,Hull,2.64,3.13,2.82,A,0.6,1.6,1.0,0.8,5.0
260,Chelsea,Everton,1.57,3.85,6.29,H,0.8,0.4,1.6,1.8,5.0
261,Crystal Palace,Man United,6.18,3.87,1.58,A,1.2,1.0,1.4,1.2,5.0
262,Man City,Stoke,1.17,7.38,15.32,H,0.6,1.4,2.4,2.6,5.0
263,West Brom,Fulham,1.77,3.68,4.65,D,0.8,0.8,2.6,1.0,5.0
264,West Ham,Southampton,3.02,3.27,2.4,H,2.0,1.8,0.8,1.8,5.0
265,Liverpool,Swansea,1.29,5.51,10.2,H,0.4,0.8,1.4,3.2,6.0
266,Newcastle,Aston Villa,2.07,3.33,3.7,H,1.0,2.2,1.2,1.0,6.0
267,Norwich,Tottenham,3.72,3.34,2.06,H,2.6,0.6,1.0,0.4,6.0
268,Everton,West Ham,1.51,4.06,6.85,H,1.2,0.8,1.0,2.0,4.0
269,Fulham,Chelsea,7.43,4.34,1.45,A,1.4,3.0,0.2,1.4,4.0
270,Hull,Newcastle,2.37,3.18,3.15,A,1.2,1.4,1.0,1.8,4.0
271,Southampton,Liverpool,3.55,3.53,2.04,A,2.2,2.0,2.0,1.4,4.0
272,Stoke,Arsenal,5.48,3.64,1.68,H,1.8,1.8,1.8,1.8,4.0
273,Aston Villa,Norwich,2.08,3.31,3.69,H,0.4,1.8,1.4,1.2,0.0
274,Swansea,Crystal Palace,1.82,3.42,4.73,D,0.4,1.6,1.4,1.8,0.0
275,Tottenham,Cardiff,1.33,4.89,10.09,H,0.6,1.2,2.8,1.6,0.0
276,Cardiff,Fulham,2.3,3.35,3.14,H,0.6,1.8,2.6,0.8,6.0
277,Chelsea,Tottenham,1.57,3.91,6.38,H,2.0,0.4,0.8,1.8,6.0
278,Crystal Palace,Southampton,3.58,3.26,2.15,A,1.6,0.8,1.4,1.2,6.0
279,Norwich,Stoke,2.22,3.22,3.44,D,0.4,0.2,1.6,0.4,6.0
280,West Brom,Man United,4.59,3.54,1.81,A,1.0,0.8,1.0,1.0,6.0
281,Aston Villa,Chelsea,6.83,4.08,1.51,H,2.0,1.8,0.4,2.0,5.0
282,Everton,Cardiff,1.34,4.87,9.76,H,0.4,0.6,2.4,1.4,5.0
283,Fulham,Newcastle,2.86,3.33,2.48,H,1.4,2.8,1.2,1.2,5.0
284,Hull,Man City,6.14,4.13,1.55,A,2.8,1.6,1.0,1.6,5.0
285,Southampton,Norwich,1.58,3.89,6.18,H,0.6,2.0,2.2,1.0,5.0
286,Stoke,West Ham,2.23,3.19,3.41,H,1.0,1.6,0.6,1.6,5.0
287,Sunderland,Crystal Palace,2.09,3.24,3.73,D,0.4,1.0,1.2,0.6,5.0
288,Swansea,West Brom,1.92,3.43,4.12,A,1.6,1.4,2.4,1.8,5.0
289,Man United,Liverpool,2.46,3.36,2.86,A,2.6,1.0,1.6,2.0,6.0
290,Tottenham,Arsenal,2.97,3.32,2.4,A,1.2,1.0,1.8,1.6,6.0
291,Cardiff,Liverpool,8.5,4.93,1.37,A,3.0,1.6,1.2,1.0,5.0
292,Chelsea,Arsenal,1.87,3.43,4.46,H,1.2,0.2,1.8,2.2,5.0
293,Everton,Swansea,1.64,3.73,5.76,H,1.0,0.6,2.0,1.8,5.0
294,Hull,West Brom,2.2,3.23,3.47,H,1.8,2.0,2.4,0.4,5.0
295,Man City,Fulham,1.15,8.28,15.77,H,0.8,0.8,2.0,1.6,5.0
296,Newcastle,Crystal Palace,1.85,3.43,4.54,H,0.2,2.0,1.2,0.2,5.0
