,HomeTeam,AwayTeam,BbAvH,BbAvD,BbAvA,FTR,AwayTeamGoals,HomeTeamConceded,AwayTeamConceded,HomeTeamGoals,Weekday
2725,Crystal Palace,Norwich,1.94,3.75,3.88,H,0.2,0.8,2.4,1.4,5.0
2726,Tottenham,Southampton,1.44,4.67,7.61,H,0.8,1.0,1.4,1.8,5.0
2727,Wolves,Watford,1.89,3.49,4.46,H,0.6,1.6,2.8,1.6,5.0
2728,Everton,Man City,9.84,5.86,1.3,A,3.0,0.8,1.0,2.0,5.0
2729,Leicester,Newcastle,1.53,4.09,7.06,H,1.6,0.4,1.4,1.6,6.0
2730,Man United,Arsenal,2.36,3.53,2.99,D,1.4,1.0,1.8,1.4,0.0
2731,Brighton,Tottenham,3.9,3.63,1.96,H,1.0,1.8,1.6,0.8,4.0
2732,Burnley,Everton,2.93,3.3,2.52,H,0.6,1.4,1.4,1.2,4.0
2733,Liverpool,Leicester,1.46,4.66,7.0,H,1.0,0.6,1.2,3.4,4.0
2734,Norwich,Aston Villa,2.41,3.6,2.85,A,1.0,1.8,2.8,2.4,4.0
2735,Watford,Sheffield United,2.14,3.38,3.58,D,1.2,2.8,1.8,1.0,4.0
2736,West Ham,Crystal Palace,2.0,3.58,3.8,A,1.6,1.4,2.0,1.8,4.0
2737,Arsenal,Bournemouth,1.45,4.97,6.68,H,2.4,1.8,2.6,2.0,0.0
2738,Man City,Wolves,1.13,9.26,21.61,A,1.0,0.4,1.4,3.2,0.0
2739,Southampton,Chelsea,4.02,3.84,1.87,A,1.8,2.0,1.8,1.4,0.0
2740,Newcastle,Man United,4.42,3.44,1.9,H,0.6,1.2,1.8,1.2,0.0
2741,Everton,West Ham,1.97,3.71,3.81,H,2.0,1.4,1.0,1.4,5.0
2742,Aston Villa,Brighton,2.38,3.43,3.05,H,0.8,0.8,1.4,1.0,5.0
2743,Bournemouth,Norwich,1.73,4.33,4.35,D,0.2,1.4,2.6,1.6,5.0
2744,Chelsea,Newcastle,1.31,5.62,10.38,H,1.4,1.0,2.2,1.8,5.0
2745,Leicester,Burnley,1.57,4.09,6.37,H,1.0,0.4,1.6,2.0,5.0
2746,Tottenham,Watford,1.42,4.9,7.48,D,0.2,1.0,3.0,2.2,5.0
2747,Wolves,Southampton,1.85,3.58,4.52,D,0.8,1.4,1.6,1.4,5.0
2748,Crystal Palace,Man City,11.88,6.72,1.24,A,3.4,0.8,1.2,1.8,5.0
2749,Man United,Liverpool,5.03,3.96,1.7,D,2.2,1.0,0.8,1.4,6.0
2750,Sheffield United,Arsenal,3.88,3.79,1.93,H,1.6,1.4,1.4,0.4,0.0
2751,Southampton,Leicester,3.2,3.34,2.36,A,0.8,2.2,1.2,1.0,4.0
2752,Man City,Aston Villa,1.09,11.64,28.3,H,1.6,0.8,2.4,3.0,5.0
2753,Brighton,Everton,2.87,3.3,2.58,H,0.6,1.6,1.6,1.2,5.0
